LAT;LGT;SNR;RSSI;CLASSE
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;11;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;7;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;7;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;7;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;7;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;7;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;7;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;7;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;7;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;7;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;7;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;7;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;7;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;8;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-59;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;8;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-59;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
16.0658028;-16.4246639;9;-58;classe0_4_7
16.0658028;-16.4246639;10;-58;classe0_4_7
